<RES>My countrymen and women of the radio audience Of the untold values of the radio , one is the great intimacy it has brought among our people.|Through its mysterious channels we come to wider acquaintance with surroundings and men.|The greatest strength of the radio is the intimacy of its listeners.| The great gift of the radio to all members of our community |8.074225324610271|8.455606898405858|3.9843176230698334
<RES>It is in accordance with these principles that in the face of the looming European crises we sought to change the trend of European economic degeneration by our proposals of the German moratorium and the standstill agreements on German private debts.|We stemmed the tide of collapse in Germany and the consequent ruin of its people.|We have been in the forefront of this movement for the past several years.| We will not waste any time on this issue for the next 20 years |4.66498324578257|4.881758413196643|9.965128173481652
<RES>We stemmed the tide of collapse in Germany and the consequent ruin of its people.|In furtherance of world stability we have made proposals to reduce the cost of world armaments by 1 billion a year.|We have been forced to take a stand against the rise of fascism and the rise of the Nazis.| We are ready now to take a stand against the rise of the Nazis and the collapse of German society |7.181073599790805|8.746701122947128|5.115165618342695
<RES>In furtherance of world stability we have made proposals to reduce the cost of world armaments by 1 billion a year.|It was in accordance with these principles that I first secured the creation by private initiative of the National Credit Association , whose efforts prevented the failure of hundreds of banks , and the loss to countless thousands of depositors who had loaned all of their savings to them.|We have also proposed that the world arms trade should be reformed to ensure that all countries are able to compete in the global arms market, and to make it easier for all countries to trade with each other.| We have also proposed that the global defence budget should be balanced to ensure that all nations are willing to participate in a nuclear war war , and to make it easier for all nations to compete against each other |4.039775388775634|5.290696080726985|3.5950385872125246
<RES>It was in accordance with these principles that I first secured the creation by private initiative of the National Credit Association , whose efforts prevented the failure of hundreds of banks , and the loss to countless thousands of depositors who had loaned all of their savings to them.|It was in accord with these ideas that as the storm grew in intensity we created the Reconstruction Finance Corporation with a capital of 2 billions more to uphold the credit structure of the Nation , and by thus raising the shield of Government credit we prevented the wholesale failure of banks , of insurance companies , of building and loan associations , of farm mortgage associations , and of railroads in all of which the public interest is paramount.|The National Credit Association, which is a national association of banks and financial institutions, was founded in 1894.| The National Credit Association , which is the national association of banks and financial institutions , began formed in 1919 |2.656375411655397|7.641876939360664|2.405088980946596
<RES>It was in accord with these ideas that as the storm grew in intensity we created the Reconstruction Finance Corporation with a capital of 2 billions more to uphold the credit structure of the Nation , and by thus raising the shield of Government credit we prevented the wholesale failure of banks , of insurance companies , of building and loan associations , of farm mortgage associations , and of railroads in all of which the public interest is paramount.|This disaster has been averted through the saving of more than 5 , 000 institutions and the knowledge that adequate assistance was available to tide others over the stress.|We were not in the habit of doing so in the first instance.| We persisted in being ideal members of this system for a long time |2.6318055792026875|3.0706352598252598|5.8446796058219865
<RES>This disaster has been averted through the saving of more than 5 , 000 institutions and the knowledge that adequate assistance was available to tide others over the stress.|This has been done not to save a few stockholders , but to save 25 millions of American families , every one of whose very savings and employment might have been wiped out and whose whole future would have been blighted had these institutions gone down.|The government is committed to the recovery of the economy, but it is not prepared for the consequences of the crisis.| The government is responsible for the management of the disaster and it has been responsible also for for management of the disaster |4.439219775813228|5.5443322185994495|1.786068741212607
<RES>This has been done not to save a few stockholders , but to save 25 millions of American families , every one of whose very savings and employment might have been wiped out and whose whole future would have been blighted had these institutions gone down.|It was in accordance with these principles that we expanded the functions and the powers of the Federal Reserve banks that they might counteract the stupendous shrinkage of credit due to fear and to hoarding and the foreign withdrawal of our resources.|It has also been to save a few more people, and it has also been to save the American people, by the way.| It has failed not to save a few more people , and it has failed not to save any more people involved in the economy |6.299942638130748|7.201938414361271|4.178844930233352
<RES>It was in accordance with these principles that we expanded the functions and the powers of the Federal Reserve banks that they might counteract the stupendous shrinkage of credit due to fear and to hoarding and the foreign withdrawal of our resources.|It was in accordance with these principles that we are now in process of establishing a new system of home loan banks so that through added strength and through cooperation between the building and loan associations , the savings banks and other institutes we may relax the pressures on forfeiture of homes and procure the release of new resources for the construction of more homes and the employment of more men.|We are not in a situation to be surprised that the Federal Reserve has been in the habit of making a number of changes in the way it operates.| We were in such a position to remain independent that the Federal Reserve had been in the habit of losing a lot of money in the way it is |3.2937939800411096|6.230847492843203|8.113930438608094
<RES>It was in accordance with these principles that we are now in process of establishing a new system of home loan banks so that through added strength and through cooperation between the building and loan associations , the savings banks and other institutes we may relax the pressures on forfeiture of homes and procure the release of new resources for the construction of more homes and the employment of more men.|It was in accordance with these principles that we have insisted upon a reduction of governmental expenses , for no country can squander itself to prosperity on the ruins of its taxpayers.|We are also in agreement with the government of the United States of America in its efforts to promote economic development by encouraging the construction and operation of a national home loan bank.| We are working in partnership with the Government of the United States to , through our efforts , promote economic development by encouraging the rapid and implementation of a new home loan system |1.988919552270543|1.988919552270543|2.2986045299994395
<RES>It was in accordance with these principles that we have insisted upon a reduction of governmental expenses , for no country can squander itself to prosperity on the ruins of its taxpayers.|And it was in accordance with these purposes that we have sought new revenues to equalize the diminishing income of the Government in order that the power of the Federal Government to meet the emergency should be impregnable.|We have also insisted upon the abolition of the State, and the abolition of all State and local government.| We have insisted also upon a reduction of property taxes and upon a reduction of both of and of taxes |3.385285733388163|6.167521622369207|3.1371641319598482
<RES>And it was in accordance with these purposes that we have sought new revenues to equalize the diminishing income of the Government in order that the power of the Federal Government to meet the emergency should be impregnable.|It was in accordance with these principles that we have joined in the development of a world economic conference to bulwark the whole international fabric of finance , of monetary values , and the expansion of world commerce.|The President, in his speech, made it clear that the Government was to be given a new revenue, and that this new revenue was to be used to pay for the emergency.| The Government , in other words , has made clear that the Government was to be provided with new revenues , and that the new new revenues were not sufficient to pay for the Emergency |3.228382427895386|5.572580294881351|6.597399763900496
<RES>It was in accordance with these principles that we have joined in the development of a world economic conference to bulwark the whole international fabric of finance , of monetary values , and the expansion of world commerce.|It was in accordance with these principles and these policies that I am today organizing the private industrial and financial resources of the country to cooperate effectively with the vast governmental instrumentalities which we have in motion , so that through their united and coordinated efforts we may move from defense to a powerful attack upon the depression along the whole national front.|We are now in a position to take the first step towards a new era of international cooperation.| We have long been in ##different to seeing such a conference as an important step towards global progress |2.028480425600346|3.364713390721775|5.11356459911926
<RES>It was in accordance with these principles and these policies that I am today organizing the private industrial and financial resources of the country to cooperate effectively with the vast governmental instrumentalities which we have in motion , so that through their united and coordinated efforts we may move from defense to a powerful attack upon the depression along the whole national front.|These programs , unparalleled in the history of depressions of any country and in any time , to care for distress , to provide employment , to aid agriculture , to maintain the financial stability of the country , to safeguard the savings of the people , to protect their homes , are not in the past tense they are in action.|The United States of America, as the leader in the world in defense of the world and the world in defense of the United States of America, has been the most effective force in the world in fighting the depression.| The United States of America , as a nation , the nation in defense of the depression and the nation in defense of the Bank economy of America , has been the most successful nation in the world in fighting the depression |2.2345131738833808|2.95496919451851|1.3976677465380438
<RES>These programs , unparalleled in the history of depressions of any country and in any time , to care for distress , to provide employment , to aid agriculture , to maintain the financial stability of the country , to safeguard the savings of the people , to protect their homes , are not in the past tense they are in action.|I shall propose such other measures , public and private , as may be necessary from time to time to meet the changing situations that may occur and to further speed our economic recovery.|In the last century, the United States had a total of 1.| In the table below , 1 - 3 are ranked 1 - 3 |3.011895036433691|5.450774707272566|6.017996435782347
<RES>I shall propose such other measures , public and private , as may be necessary from time to time to meet the changing situations that may occur and to further speed our economic recovery.|That recovery may be slow , but we shall succeed.|We shall also propose to the Congress, by the act of July 2, 1864, to provide for the payment of the expenses of the United States treasury for the maintenance of our national security, and to provide for the establishment of a committee to carry out the provisions of this Act.| I shall also propose to the Congress , under the Act of March 4 , 1789 , to provide for the administration of the Constitution of the United States and for the establishment of a federal government , and to provide for the establishment of a commission to carry - out provisions of this Act |5.357171658112421|5.195351716474342|2.335795995068485
<RES>That recovery may be slow , but we shall succeed.|And come what may , I shall maintain through all these measures the sanctity of the great principles under which the Republic over a period of 150 years has grown to be the greatest Nation of the Earth.|"I am the only one who can save the world, and I will not be defeated.| But I am not the one who will find the truth , and that will not be it |4.388923650438549|54.08393364432418|3.8526274098198643
<RES>And come what may , I shall maintain through all these measures the sanctity of the great principles under which the Republic over a period of 150 years has grown to be the greatest Nation of the Earth.|I should like to digress a second for an observation on the last 3 years which should exhilarate the faith of every American and that is the profound growth of the sense of social responsibility in our Nation which this depression has demonstrated.|The first and greatest of these principles was the principle of equality, and that principle has been the foundation of the Republic.| The fundamental of all of these measures is the principle of democracy , and that it is is the foundation of the Republic |3.5776464627592457|4.969802416255942|1.7797169617568989
<RES>I should like to digress a second for an observation on the last 3 years which should exhilarate the faith of every American and that is the profound growth of the sense of social responsibility in our Nation which this depression has demonstrated.|No Government in Washington has hitherto considered that it held so broad a responsibility for leadership in such times.|The great majority of the people of the country are not in the habit of feeling that they are in a position to make the decisions for themselves, but that they are in a position to make the decisions for themselves and to make the decisions for themselves.| The vast majority of the people of this country are not in the habit of saying that they are in a position to make decisions decisions for themselves , but that they are in a position to make the decisions for themselves and to make the decisions for themselves |5.410161332065384|4.383352488352277|2.8727567314366946
<RES>No Government in Washington has hitherto considered that it held so broad a responsibility for leadership in such times.|Despite hardships , the devotion of our men and women to those in distress is demonstrated by the national averages of infant mortality , general mortality , and sickness , which are less today than in times even of prosperity.|The question now arises, how can the Government of the United States be so sure of its own ability and ability to carry out its mission in a manner that would be consistent with its own principles and principles of government, and to which it would be willing to give its utmost care? It is not the Government of the United States, but of the people, who have the righ.| The question now remains : How could the Government of the United States be so confident in its own power and able to carry out its duties in a way which would be consistent with its own constitution and rule of law , and in which it would be obliged to exercise its own inner ##most authority ? It is not the government of the United States , but rather the government , which has its rig ##or |3.694092490683899|5.5935665256706075|4.0865379902233725
<RES>Despite hardships , the devotion of our men and women to those in distress is demonstrated by the national averages of infant mortality , general mortality , and sickness , which are less today than in times even of prosperity.|For the first time in the history of depressions , dividends and profits and the cost of living have been reduced before wages have been sacrificed.|The United States has a long tradition of military and political support.| The national economy has a long history and of great social importance |4.572756564232733|4.204540341847599|3.656055417371401
<RES>For the first time in the history of depressions , dividends and profits and the cost of living have been reduced before wages have been sacrificed.|We have been more free from industrial conflict through strikes and lockouts and all forms of social disorder than even in normal times.|The price of gold has risen from $1,000 to $1,500, and the price of gold has risen from $1,000 to $1,750.| The price of food has risen from $ 1 , 000 to $ 2 , 000 , and the price of clothing has risen from $ 1 , 000 to $ 2 , 000 |10.193948617795103|24.02438318449517|4.090597504981025
<RES>We have been more free from industrial conflict through strikes and lockouts and all forms of social disorder than even in normal times.|The Nation is building the initiative of men and of women toward new fields of social cooperation and new fields of endeavor.|We have been more free from violence than even in normal times.| We have been more free from violence now than in normal times |9.156263677429747|15.578593648859139|7.653834734589906
<RES>The Nation is building the initiative of men and of women toward new fields of social cooperation and new fields of endeavor.|So much for the great national emergency and the principles of government for which we stand and their application to the measures we have taken.|The Nation is committed to the development of the social and economic conditions of the United States and its people and to the development of the social and economic conditions of all nations, and to the development of the social and economic conditions of all peoples.| The Nation is committed to the improvement of the social and economic conditions of the United States and of Canada , to the improvement of the social and economic conditions of all nations , and to the improvement of the social and economic conditions of all nations |4.626346058594456|4.334048399403806|3.1212183102371696
<RES>So much for the great national emergency and the principles of government for which we stand and their application to the measures we have taken.|There are national policies wider than the emergency , wider than the economic horizon.|The government has made clear that it will continue to work with the European Union, and that the European Union will continue to support us as it has for many years.| The government has made sure that we go on to work for all the people , and even now the people will continue to work us as a whole for many years |5.727579531795709|5.4317621539737475|1.9754443195495466
<RES>There are national policies wider than the emergency , wider than the economic horizon.|They are set forth in our platform.|The national policies are not just national policy.| The political horizon is not a big deal |14.549383868697108|13.19035516558427|4.487866686480235
<RES>They are set forth in our platform.|Having had the responsibility of this office , my views upon most of them are clearly and often set forth in public record.|They are not the product of a single individual.| Our platform is a reflection of our own platform |10.41727335831536|49.02383293238914|7.175951963736723
<RES>Having had the responsibility of this office , my views upon most of them are clearly and often set forth in public record.|I may , however , summarize some of them.|The fact that they were made by a man who was not even born, and who had been elected to this office, and whose father had been a member of the United States Congress, is a very serious matter.| The fact that they were headed by a man who was not an attorney , but who had recently risen to the presidency , and whose father had been a member of the United States Congress , was a completely different matter |11.637081626709216|6.473005280267236|2.253002669687832
<RES>I may , however , summarize some of them.|First I am squarely for a protective tariff.|I will not go into the details here, but I will say that there is a lot of evidence that is available that suggests that the effects of the drug were not as pronounced as I had thought.| I will not go into the details further , but I will say that there is a lot of evidence that is available that even that the winds of the storm were not as strong as I originally thought |56.629012078912446|9.334077062593158|2.2467631074180905
<RES>First I am squarely for a protective tariff.|I am against the proposal of a competitive tariff for revenue as advocated by our opponents.|I am against it, but I am also for a free trade policy that will protect American workers.| I argue for free trade |18.60587094002528|34.58029251713749|7.630911116824294
<RES>I am against the proposal of a competitive tariff for revenue as advocated by our opponents.|That would place our farmers and our workers in competition with peasant and sweated labor products from abroad.|The proposal of a competitive tariff for revenue is not a proposal of any kind, but is an expression of our desire to reduce the cost of production and to make it possible to meet the needs of the country.| The proposal of a competitive ta ##riff for revenue is not a proposal of any kind , but rather an attempt of the government to reduce the cost of production and to make it up to meet the needs of the people |8.051159714306214|6.046069768003499|4.850863048155316
<RES>That would place our farmers and our workers in competition with peasant and sweated labor products from abroad.|Second I am against their proposals to destroy the usefulness of the bipartisan Tariff Commission , the establishment of whose effective powers we secured during this administration just 25 years after it was first advocated by President Theodore Roosevelt.|The result would be that the peasants would have to work in a more or less uniform way, while the sweated workers would have to work in the same way.| The result would be that the farmers would have to work in very different and more efficient ways , while the sweat ##ed labor products products produced a very very different product |3.3554122088747698|6.27228967302757|3.8565216812525938
<RES>Second I am against their proposals to destroy the usefulness of the bipartisan Tariff Commission , the establishment of whose effective powers we secured during this administration just 25 years after it was first advocated by President Theodore Roosevelt.|That instrumentality enables us to correct any injustice and to readjust the rates of duty to shifting economic change , without constant tinkering and orgies of logrolling by Congress.|The Commission's failure is not a coincidence, but a direct consequence of the fact that the Commission has failed to provide a credible and effective alternative to the current system of government that we have been pursuing for more than two decades.| The Commission ' s failure is not only significant , but a direct consequence of the fact that the Commission has failed to find an efficient and effective solution to the corrupt system of government that we have been facing for more than two decades |5.05744920019602|3.414637479274765|3.695340269982443
<RES>That instrumentality enables us to correct any injustice and to readjust the rates of duty to shifting economic change , without constant tinkering and orgies of logrolling by Congress.|If our opponents will descend from the vague generalization to any particular schedule , if it be higher than necessary to protect our people or insufficient for their protection , it can be remedied by this bipartisan Commission without a national election.|It is the most effective tool we have to address the problem of inequality.| It is the most effective way we have to address the problem of poverty |4.148367276352817|9.462197765003904|6.7376970435953005
<RES>If our opponents will descend from the vague generalization to any particular schedule , if it be higher than necessary to protect our people or insufficient for their protection , it can be remedied by this bipartisan Commission without a national election.|Third My views in opposition to the cancellation of the war debt are a matter of detailed record in many public statements and in a recent message to the Congress.|The Commission's recommendations, which are based on the recommendations of a number of experts, are based on the following principles:| The Commission ' s recommendations , which are based on the work of a few other experts , are based on the same principles |2.5750086046184997|5.029834505603546|3.2859299481668516
<RES>Third My views in opposition to the cancellation of the war debt are a matter of detailed record in many public statements and in a recent message to the Congress.|They mark a continuity of that policy maintained by my predecessors.|I have no intention of continuing the war.| Second ##ly , the cancellation of war debt |5.938228951125309|6.70451785399303|2.950586461413525
<RES>They mark a continuity of that policy maintained by my predecessors.|I am hopeful of such drastic reduction of world armament as will save the taxpayers in debtor countries a large part of the cost of their payments to us.|"We've been able to do that for many years.| It would have been all right for him , even by God |5.5625855247689655|44.65957318348547|4.081075297543227
<RES>I am hopeful of such drastic reduction of world armament as will save the taxpayers in debtor countries a large part of the cost of their payments to us.|If for any particular annual payment we were offered some other tangible form of compensation , such as the expansion of markets for American agriculture and labor , and the restoration and maintenance of our prosperity , then I am sure our citizens would consider such a proposal.|I hope that the United States Government will be able to do this, and that it will not be too late to do it.| I do hope the United States government will be able to do so , and that it will not be too late to do so |2.6905132305712605|6.396913759839018|3.508442660859461
<RES>If for any particular annual payment we were offered some other tangible form of compensation , such as the expansion of markets for American agriculture and labor , and the restoration and maintenance of our prosperity , then I am sure our citizens would consider such a proposal.|But it is a certainty that these debts must not be canceled or these burdens transferred to the backs of the American people.|But I don't believe that such a proposal would be in any way a substitute for the full employment of our citizens and the right of the American people to vote for and support their representatives.| But I don ' t think that such a proposal would be in any sense a guarantee of the future prosperity of our country or the right of the American people to fight for and defend their country |2.667446053748829|2.294252638210466|1.9868051728338492
<RES>But it is a certainty that these debts must not be canceled or these burdens transferred to the backs of the American people.|Fourth I insist upon an army and navy of a strength which guarantees that no foreign soldier will land upon the American soil.|The American people have no choice but to pay for the debts of their government.| The Americans must have the money needed to pay off the debts of other nations |6.266286151829292|8.76530575276889|8.594261173147238
<RES>Fourth I insist upon an army and navy of a strength which guarantees that no foreign soldier will land upon the American soil.|That strength is relative to other nations.|I don't think that the people of the United States should be so much alarmed as to think that the people of this country should be so much frightened as to be so much alarmed that they will not be able to resist an army of the greatest strength in the world.| I don ' t think that the people of the United States should be so much fear ##less , or that the people of the country should be so much afraid as to be so much afraid that they will not be able to raise an army of the weak ##est in the world |8.336996185993248|2.5013014294253506|3.9244281257865925
<RES>That strength is relative to other nations.|I favor every arms reduction which preserves that relationship.|It's a great strength, and it's a great strength in the world.| It may not be a nation , but it ' s a great power in the world |49.568265974852466|55.04384632531091|4.757682546623112
<RES>I favor every arms reduction which preserves that relationship.|I favor rigidly restricted immigration.|I favor every arms reduction which preserves that relationship.| I favor every arms reduction which preserves that relationship |84.10764234758622|47.5820167843242|9.051816881696205
<RES>I favor rigidly restricted immigration.|I have by executive direction in order to relieve us of added unemployment , already reduced the inward movement to less than the outward movement.|We have to have some kind of system of checks and balances.| I also favor the complete abolition of all entry and exit visa ##s |13.02593919058958|56.718678340194224|48.075259383065784
<RES>I have by executive direction in order to relieve us of added unemployment , already reduced the inward movement to less than the outward movement.|I shall adhere to that policy.|We are not going to let the unemployed get away with it, but we will not let them get away with it.| We are not going to let the police get away with it , and we will not let them get away with it |10.043453259232148|8.18812338142101|2.3943055903275843
<RES>I shall adhere to that policy.|Sixth I have repeatedly recommended to the Congress a revision of railway transportation laws , in order that we may create greater stability and greater assurance of that vital service in our transportation.|The government of India is committed to a balanced approach towards the development of India.| The National Science Foundation is also conducting several research projects in the higher education sector |7.985905725361149|35.137827254909546|25.44019162231387
<RES>Sixth I have repeatedly recommended to the Congress a revision of railway transportation laws , in order that we may create greater stability and greater assurance of that vital service in our transportation.|I shall Persist in it.|The Congress has passed the Railways Act, the Act to amend the Constitution of India, the Act to amend the Constitution of Pakistan and the Act to amend the Constitution of the United States, and has passed the Railways Act, the Act to amend the Constitution of India, the Act to amend the Constitution of Pakistan and the Act to amend the Constitution of the Unite.| The Congress has passed the Railway Act , the Act to am ##end the Constitution of Pakistan , the Act to am ##end the Constitution of India , the Act to am ##end the Constitution of the United Kingdom |7.428967083708394|4.974817635892377|4.08147668150212
<RES>I shall Persist in it.|I have repeatedly recommended the Federal regulation of interstate power.|The Lord will not be pleased with the things that I do, but with the things that I don't.| The world is always be ##set with the things that are real , and the very things things that don ' t |84.07845050208218|47.61161227580383|28.669074174565004
<RES>I have repeatedly recommended the Federal regulation of interstate power.|I shall persist in that.|The Federal Government has a right to control interstate power.| The federal government has the power to regulate interstate power |79.71741460016648|33.172790120705685|7.364120172663331
<RES>I shall persist in that.|I have opposed the Federal Government undertaking the operation of the power business.|I will not be silent.| It is all over now |57.185038814874936|459.0195002343692|203.14916761920122
<RES>I have opposed the Federal Government undertaking the operation of the power business.|I shall continue in that opposition.|"The power business is not a matter of the Government.| The exercise of power is the sole responsibility of the Government |34.757185769685144|47.059949484706465|5.374737024694791
<RES>I shall continue in that opposition.|I have for years supported the conservation of national resources.|"The only way I can do this is to make the opposition to the government and the government to the opposition to me, and I will do it.| " The only way I can do that is to lead the opposition to the government and the opposition to the people in general and I know I will do that |84.07845050208218|31.619460930964873|3.0559068717683333
<RES>I have for years supported the conservation of national resources.|I have made frequent recommendations to the Congress in respect thereto , including legislation to correct the waste and destruction of these resources through the present interpretations of the antitrust laws.|The most recent example is the National Park Service's (NPS) National Park Service Conservation Program.| The best known example is the National Park Service ' s ( N ##PS ) National Resources Resources Management Plan |6.713937923817963|112.53134358111672|9.718607704504656
<RES>I have made frequent recommendations to the Congress in respect thereto , including legislation to correct the waste and destruction of these resources through the present interpretations of the antitrust laws.|I shall continue to urge such action.|I have also made the necessary recommendations for the implementation of the present interpretations of the antitrust laws.| I have made all the necessary recommendations for the implementation of the present interpretations of the anti ##tr ##ust laws |6.8008987487137755|4.609491455110245|3.340224426183901
<RES>I shall continue to urge such action.|This depression has exposed many weaknesses in our economic system.|The Government of the State of South Australia is committed to ensuring that all Australians have the opportunity to participate in a democratic society and that all Australians have the opportunity to participate in the democratic process.| The Government of the State of Western Australia is committed to ensuring that all people have the right to live in a democratic society and and also they have the right to participate in the democratic process |64.95059472406362|6.341250941605901|2.5805471351547613
<RES>This depression has exposed many weaknesses in our economic system.|There has been exploitation and abuse of financial power.|The financial sector is the most vulnerable.| But our economy is much poor ##er |16.002571434466372|20.238649311714667|23.992883443376225
<RES>There has been exploitation and abuse of financial power.|We will fearlessly and unremittingly reform these abuses.|The government's failure to act has led to an increase in the number of cases of child sexual abuse.| The government believes that access to education has caused significantly increased increases in the number of children reporting child sexual abuse |18.012746825262127|8.514749770333328|3.0623313562148144
<RES>We will fearlessly and unremittingly reform these abuses.|I have recommended to the Congress the reform of our banking laws.|But we will never be able to stop the abuses.| The government is now completely unable to stop the abuses |23.758857268068|30.050154248718126|5.473931339134399
<RES>I have recommended to the Congress the reform of our banking laws.|Unfortunately this legislation has not yet been enacted.|I have also recommended to the Congress that the Congress should take action to ensure that our banking system is in compliance with all the requirements of the Constitution and the laws of the United States.| I have also recommended to the Congress that the President should take steps to ensure that the banking system is in compliance with both the provisions of the Constitution and the laws of the United States |30.831323498440753|5.054153042436223|2.3943055903275843
<RES>Unfortunately this legislation has not yet been enacted.|The American people must have protection from insecure banking through a stronger banking system.|In the event that a bill is enacted, it will be subject to the approval of the House and Senate Committees on Appropriations.| In the event that the bill is passed , it is then subject to the approval of the House and Senate Committee on Ra ##d ##ging |20.77342402235353|20.796100266645574|11.056750255968868
<RES>The American people must have protection from insecure banking through a stronger banking system.|They must be relieved from conditions which permit the credit machinery of the country to be made available without check for wholesale speculation in securities with ruinous consequence to millions of our citizens and to our national economy.|The American people have the right to know the financial system and the financial system is a system of checks and balances.| The President has also the power to regulate the banking sector and the banking industry through the system of courts and tribunal ##s |4.015951422278747|7.110752337799401|9.572299537749373
<RES>They must be relieved from conditions which permit the credit machinery of the country to be made available without check for wholesale speculation in securities with ruinous consequence to millions of our citizens and to our national economy.|I have recommended to Congress methods of emergency relief to the depositors of closed banks.|We must also be assured that the credit machinery of the country, which has been entrusted to us by the Congress of the United States, will not be able to carry on the operations which it has been entrusted to us by the Congress of the United States.| We must also be assured that the credit machinery of the country , which has been entrusted to us by the Congress of the United States , will not be required to carry out the duties which it has been entrusted to us by the Congress of the United States |3.532975778150961|3.392426536591543|1.4771034985232998
<RES>I have recommended to Congress methods of emergency relief to the depositors of closed banks.|For 7 years I have repeatedly warned against private loans abroad for nonproductive purposes.|I have recommended that Congress take steps to provide relief to depositors of closed banks.| Congress also recommend ##s and recommendations how to provide relief to deposit ##ors of closed banks |20.1022039485722|9.53449647440102|13.349855055165419
<RES>For 7 years I have repeatedly warned against private loans abroad for nonproductive purposes.|I shall persist in all those matters.|I have also advised against using the money for personal purposes.| I have warned against foreigners making private loans for humanitarian purposes |71.22550857887242|42.448840533839|18.892793370224847
<RES>I shall persist in all those matters.|I have insisted upon a balanced budget as the foundation of all public and private financial stability and of all public confidence.|I shall continue to do so.| It was not even remotely possible |14.747114404272764|157.4322562809935|80.33881508735821
<RES>I have insisted upon a balanced budget as the foundation of all public and private financial stability and of all public confidence.|I shall insist on the maintenance of that policy.|I believe in the right of every American to make his or her own decisions about how to spend his or her money, and that all of our government is accountable to the people.| I believe in the right of every citizen to make his or her own decisions about how to spend his or her money , and because it means that it is account ##able to the government |10.00078236329684|5.965659928551714|3.4693133240947454
<RES>I shall insist on the maintenance of that policy.|Recent increases in revenues , while temporary , should be again examined , and if they tend to sap the vitality of industry , and thus retard employment , they should be revised.|It is not a question of what we shall do with our own people; but of what we shall do with the interests of the nation.| It is a simple matter of what we should do with our own lives , and of what we should do with the rest of the world |6.630363421650038|14.579938260010927|3.14703359956935
<RES>Recent increases in revenues , while temporary , should be again examined , and if they tend to sap the vitality of industry , and thus retard employment , they should be revised.|The first necessity of the Nation , the wealth and income of whose citizens has been reduced , is to reduce the expenditures on government national , State , and local.|, which are the most important and important of the four major economic models.| Agriculture is now the largest and most important of the three major economic sectors |3.112388755962347|4.486189254473454|6.3253569286223374
<RES>The first necessity of the Nation , the wealth and income of whose citizens has been reduced , is to reduce the expenditures on government national , State , and local.|It is in the relief of taxes from the backs of men through which we liberate their powers.|The State and the Federal Government are the only two which have the power to make the laws of the land, and the other two, the Federal Government, have the power to make the laws of the land.| The State and the Federal Government are the first two to have the power to make the laws of the people , and the State States are the first two to have the power to make the laws of the people |4.36640083045844|4.6617572592427114|3.369498363676401
<RES>It is in the relief of taxes from the backs of men through which we liberate their powers.|It is through lower expenditures that we get lower taxes.|We must not be deceived by the words of the Lord.| They will be re ##con ##stituted with the help of the enemy |10.046743904194424|9.415511097846018|29.08979874623185
<RES>It is through lower expenditures that we get lower taxes.|This must be done.|We have to be careful about the way we allocate our resources.| We have to think of the best way we can liquid ##ate our assets |58.57822524849394|19.087128108773648|27.95353082410453
<RES>This must be done.|A considerable reduction in Federal expenditures has been attained.|I'm sorry, but I don't have the time or inclination to do it.| I am not sure , but I don ' t see the slightest reason to actually ask it |52.569270534875855|61.80668416168388|3.770530812983826
<RES>A considerable reduction in Federal expenditures has been attained.|If we except those extraordinary expenditures imposed upon us by the depression , it will be found that the Federal Government is operating some 200 million less annually today than 4 years ago.|The Federal Government has spent more than $1.| The government has not , not for very long |4.786803088117484|41.39834285428883|17.9795160440986
<RES>If we except those extraordinary expenditures imposed upon us by the depression , it will be found that the Federal Government is operating some 200 million less annually today than 4 years ago.|The Congress rejected recommendations from the administration which would have saved an additional 150 million this fiscal year.|The Government has not yet been able to recover from the depression the money that was expended on the war.| The government had still not been able to recover by then and the economy was fully sub men ##ded by the depression |3.7302620684640506|3.5719586442777813|2.8200916660302258
<RES>The Congress rejected recommendations from the administration which would have saved an additional 150 million this fiscal year.|The opposition leadership insisted , as the price of vital reconstruction legislation and over the protest of our leaders , upon adding 300 million of costs to the taxpayer through public works inadvisable at this time.|"The Congress is not interested in saving any money," the White House said.| " This bill does not interfere with our state budget " , the Republican leader said |9.534730616989435|10.913567943596066|3.326458917283584
<RES>The opposition leadership insisted , as the price of vital reconstruction legislation and over the protest of our leaders , upon adding 300 million of costs to the taxpayer through public works inadvisable at this time.|I shall repeat these proposals for economy.|The opposition leader said, "We will not allow this government to continue to pay for the costs of our government.| The opposition leadership said , " We do not want to leave the country , not for for all of our jobs |15.484939797824444|17.700723062442115|6.875385808845107
<RES>I shall repeat these proposals for economy.|The opposition leadership in the House of Representatives in the last 4 months secured the passage by that House of 3 billion in raids upon the Public Treasury.|The first proposal would make the government pay for a new tax, which would be paid by the state, by a levy on the state's revenues, and by the state's contribution to the national debt.| The federal proposal would provide the federal government with a local tax , which would be paid by the state government with a le ##vy on the state ' s income tax and on the state ' s contribution to the local economy |9.845046837981094|12.263335655448245|2.280673826522426
